CN,PLT_CN,CONDID,SUBP,TREE,STATUSCD,SPCD,DIA,HT,ACTUALHT,CR,TPA_UNADJ,DRYBIO_AG,VOLCFNET,VOLCFGRS,PREV_TRE_CN,DSTRBCD1,DAMAGE_AGENT_CD1
100001,10001,1,1,1,1,12,8.2,52,52,45,6.018046,450,12.5,14.2,,0,0
100002,10001,1,1,2,1,833,14.1,68,68,35,6.018046,1200,38.2,42.1,,0,0
100003,10001,1,1,3,1,261,10.5,60,60,40,6.018046,680,22.4,25.1,,0,0
100004,10001,1,2,1,1,12,6.4,42,42,55,6.018046,280,8.1,9.3,,0,0
100005,10001,1,2,2,1,316,18.3,72,72,30,6.018046,1850,52.3,58.7,,0,0
100006,10001,1,2,3,1,833,11.2,62,62,40,6.018046,890,28.4,32.0,,0,0
100007,10001,1,3,1,1,129,16.8,78,78,35,6.018046,1550,48.1,54.2,,0,0
100008,10001,1,3,2,1,12,4.2,28,,60,74.965,120,3.2,3.8,,0,0
100009,10001,1,3,3,2,833,9.8,55,55,25,6.018046,720,18.2,20.5,,0,0
100010,10001,1,4,1,1,531,12.4,58,58,45,6.018046,950,30.1,34.2,,0,0
100011,10001,1,4,2,1,261,7.1,44,44,50,6.018046,380,10.8,12.4,,0,0
100012,10001,1,4,3,1,129,20.2,85,85,30,6.018046,2100,62.4,70.1,,0,0
100013,10002,1,1,1,1,97,9.6,48,48,50,6.018046,580,16.2,18.4,,0,0
100014,10002,1,1,2,1,12,11.4,58,58,40,6.018046,820,24.1,27.3,,0,0
100015,10002,1,1,3,1,12,7.8,45,45,50,6.018046,400,11.2,12.8,,0,0
100016,10002,1,2,1,1,97,14.2,62,62,35,6.018046,1250,36.4,41.2,,0,0
100017,10002,1,2,2,1,241,16.1,70,70,30,6.018046,1580,46.8,52.5,,0,0
100018,10002,1,2,3,2,12,8.2,50,50,20,6.018046,450,12.5,14.2,,0,0
100019,10002,1,3,1,1,833,10.8,56,56,45,6.018046,840,26.2,29.8,,0,0
100020,10002,1,3,2,1,129,13.5,65,65,40,6.018046,1100,34.8,39.2,,0,0
100021,10002,1,3,3,1,261,8.4,46,46,50,6.018046,480,13.5,15.4,,0,0
100022,10002,1,4,1,1,97,11.8,54,54,45,6.018046,880,25.4,28.8,,0,0
100023,10002,1,4,2,1,316,15.4,68,68,30,6.018046,1420,42.1,47.5,,0,0
100024,10002,1,4,3,1,12,3.8,24,,55,74.965,100,2.8,3.2,,0,0
100025,10003,1,1,1,1,12,10.2,56,56,45,6.018046,720,20.8,23.5,,0,0
100026,10003,1,1,2,1,833,16.5,72,72,30,6.018046,1620,48.2,54.1,,0,0
100027,10003,1,1,3,1,531,8.8,50,50,50,6.018046,520,14.8,16.8,,0,0
100028,10003,1,2,1,1,129,22.4,88,88,25,6.018046,2400,72.1,81.0,,0,0
100029,10003,1,2,2,1,261,12.2,60,60,40,6.018046,920,28.6,32.2,,0,0
100030,10003,1,2,3,1,12,5.8,38,38,55,6.018046,220,6.4,7.3,,0,0
100031,10003,1,3,1,1,833,13.8,66,66,35,6.018046,1180,36.2,40.8,,0,0
100032,10003,1,3,2,1,97,7.4,42,42,50,6.018046,360,10.2,11.6,,0,0
100033,10003,1,3,3,2,261,15.1,64,64,20,6.018046,1380,42.4,47.8,,0,0
100034,10003,1,4,1,1,129,18.6,82,82,30,6.018046,1780,54.2,61.0,,0,0
100035,10003,1,4,2,1,12,9.4,52,52,45,6.018046,640,18.4,20.8,,0,0
100036,10003,1,4,3,1,531,11.6,56,56,45,6.018046,860,25.8,29.2,,0,0
100037,10004,1,1,1,1,833,11.2,58,58,40,6.018046,880,26.4,29.8,,0,0
100038,10004,1,1,2,1,12,8.6,48,48,50,6.018046,480,13.6,15.4,,0,0
100039,10004,1,1,3,1,261,14.8,66,66,35,6.018046,1340,40.2,45.2,,0,0
100040,10004,1,2,1,1,129,19.4,84,84,28,6.018046,1900,58.4,65.5,,0,0
100041,10004,1,2,2,1,97,6.8,40,40,55,6.018046,320,9.2,10.4,,0,0
100042,10004,1,2,3,1,316,13.6,64,64,35,6.018046,1140,34.2,38.5,,0,0
100043,10004,1,3,1,1,833,15.2,70,70,32,6.018046,1400,42.8,48.2,,0,0
100044,10004,1,3,2,1,12,10.4,55,55,42,6.018046,740,21.2,24.0,,0,0
100045,10004,1,3,3,2,129,12.8,62,62,18,6.018046,1020,31.2,35.2,,0,0
100046,10004,1,4,1,1,531,9.2,50,50,48,6.018046,560,16.0,18.2,,0,0
100047,10004,1,4,2,1,261,7.6,44,44,52,6.018046,400,11.4,13.0,,0,0
100048,10004,1,4,3,1,12,13.2,62,62,38,6.018046,1080,32.4,36.5,,0,0
